Alter;A;E;C;B;F;D;G;M;J;H;N;K;I;O;L
0;0.006113;0.006113;0.006615;0.005088;0.005088;0.005506;0.0056005;0.0056005;0.0060605;0.00700063;0.00700063;0.00757563;0.00840075;0.00840075;0.00909075
1;0.000423;0.000423;0.000458;0.000387;0.000387;0.000419;0.000405;0.000405;0.0004385;0.00050625;0.00050625;0.00054813;0.0006075;0.0006075;0.00065775
2;0.000343;0.000343;0.000371;0.000318;0.000318;0.000344;0.0003305;0.0003305;0.0003575;0.00041313;0.00041313;0.00044688;0.00049575;0.00049575;0.00053625
3;0.000275;0.000275;0.000297;0.000255;0.000255;0.000276;0.000265;0.000265;0.0002865;0.00033125;0.00033125;0.00035813;0.0003975;0.0003975;0.00042975
4;0.00022;0.00022;0.000238;0.000202;0.000202;0.000219;0.000211;0.000211;0.0002285;0.00026375;0.00026375;0.00028563;0.0003165;0.0003165;0.00034275
5;0.000182;0.000182;0.000197;0.000163;0.000163;0.000177;0.0001725;0.0001725;0.000187;0.00021563;0.00021563;0.00023375;0.00025875;0.00025875;0.0002805
6;0.000155;0.000155;0.000168;0.000134;0.000134;0.000145;0.0001445;0.0001445;0.0001565;0.00018063;0.00018063;0.00019563;0.00021675;0.00021675;0.00023475
7;0.000139;0.000139;0.000151;0.000115;0.000115;0.000125;0.000127;0.000127;0.000138;0.00015875;0.00015875;0.0001725;0.0001905;0.0001905;0.000207
8;0.000129;0.000129;0.000139;0.000105;0.000105;0.000113;0.000117;0.000117;0.000126;0.00014625;0.00014625;0.0001575;0.0001755;0.0001755;0.000189
9;0.000125;0.000125;0.000135;0.000099;0.000099;0.000107;0.000112;0.000112;0.000121;0.00014;0.00014;0.00015125;0.000168;0.000168;0.0001815
10;0.000129;0.000129;0.000141;0.000102;0.000102;0.00011;0.0001155;0.0001155;0.0001255;0.00014438;0.00014438;0.00015688;0.00017325;0.00017325;0.00018825
11;0.000143;0.000143;0.000162;0.000111;0.000111;0.00012;0.000127;0.000127;0.000141;0.00015875;0.00015875;0.00017625;0.0001905;0.0001905;0.0002115
12;0.000173;0.000173;0.000203;0.000127;0.000127;0.000138;0.00015;0.00015;0.0001705;0.0001875;0.0001875;0.00021313;0.000225;0.000225;0.00025575
13;0.000222;0.000222;0.00027;0.000153;0.000153;0.000168;0.0001875;0.0001875;0.000219;0.00023438;0.00023438;0.00027375;0.00028125;0.00028125;0.0003285
14;0.000303;0.000303;0.000378;0.000188;0.000188;0.000215;0.0002455;0.0002455;0.0002965;0.00030688;0.00030688;0.00037063;0.00036825;0.00036825;0.00044475
15;0.000417;0.000417;0.000532;0.000228;0.000228;0.000268;0.0003225;0.0003225;0.0004;0.00040313;0.00040313;0.0005;0.00048375;0.00048375;0.0006
16;0.000557;0.000557;0.000722;0.000271;0.000271;0.000326;0.000414;0.000414;0.000524;0.0005175;0.0005175;0.000655;0.000621;0.000621;0.000786
17;0.000709;0.000709;0.000928;0.00031;0.00031;0.000381;0.0005095;0.0005095;0.0006545;0.00063688;0.00063688;0.00081813;0.00076425;0.00076425;0.00098175
18;0.00085;0.000833;0.001122;0.000324;0.000324;0.000407;0.000587;0.0005785;0.0007645;0.00073375;0.00072313;0.00095563;0.0008805;0.00086775;0.00114675
19;0.000953;0.000917;0.001269;0.00033;0.000328;0.000421;0.0006415;0.0006225;0.000845;0.00080188;0.00077813;0.00105625;0.00096225;0.00093375;0.0012675
20;0.001012;0.000955;0.001359;0.000328;0.000322;0.000425;0.00067;0.0006385;0.000892;0.0008375;0.00079813;0.001115;0.001005;0.00095775;0.001338
21;0.001022;0.000948;0.001385;0.000322;0.000311;0.000423;0.000672;0.0006295;0.000904;0.00084;0.00078688;0.00113;0.001008;0.00094425;0.001356
22;0.001004;0.000917;0.001373;0.000314;0.0003;0.000419;0.000659;0.0006085;0.000896;0.00082375;0.00076063;0.00112;0.0009885;0.00091275;0.001344
23;0.000963;0.000868;0.001334;0.000304;0.000288;0.000413;0.0006335;0.000578;0.0008735;0.00079188;0.0007225;0.00109188;0.00095025;0.000867;0.00131025
24;0.000911;0.000812;0.001277;0.000297;0.00028;0.000412;0.000604;0.000546;0.0008445;0.000755;0.0006825;0.00105563;0.000906;0.000819;0.00126675
25;0.000856;0.000756;0.001218;0.000293;0.000274;0.000415;0.0005745;0.000515;0.0008165;0.00071813;0.00064375;0.00102063;0.00086175;0.0007725;0.00122475
26;0.000808;0.000707;0.001167;0.000292;0.000272;0.000421;0.00055;0.0004895;0.000794;0.0006875;0.00061188;0.0009925;0.000825;0.00073425;0.001191
27;0.000772;0.000671;0.001131;0.000292;0.000272;0.000429;0.000532;0.0004715;0.00078;0.000665;0.00058938;0.000975;0.000798;0.00070725;0.00117
28;0.000752;0.000648;0.001118;0.000296;0.000274;0.000445;0.000524;0.000461;0.0007815;0.000655;0.00057625;0.00097688;0.000786;0.0006915;0.00117225
29;0.000745;0.000638;0.001124;0.000302;0.000277;0.000461;0.0005235;0.0004575;0.0007925;0.00065438;0.00057188;0.00099063;0.00078525;0.00068625;0.00118875
30;0.000752;0.000638;0.00115;0.000311;0.000284;0.000484;0.0005315;0.000461;0.000817;0.00066438;0.00057625;0.00102125;0.00079725;0.0006915;0.0012255
31;0.000768;0.000647;0.001189;0.000327;0.000298;0.000518;0.0005475;0.0004725;0.0008535;0.00068438;0.00059063;0.00106688;0.00082125;0.00070875;0.00128025
32;0.000791;0.000661;0.001238;0.000351;0.000318;0.000564;0.000571;0.0004895;0.000901;0.00071375;0.00061188;0.00112625;0.0008565;0.00073425;0.0013515
33;0.00082;0.000679;0.001299;0.000386;0.000346;0.000628;0.000603;0.0005125;0.0009635;0.00075375;0.00064063;0.00120438;0.0009045;0.00076875;0.00144525
34;0.000855;0.000703;0.001369;0.000433;0.000385;0.000712;0.000644;0.000544;0.0010405;0.000805;0.00068;0.00130063;0.000966;0.000816;0.00156075
35;0.000895;0.000729;0.001449;0.00049;0.000433;0.000815;0.0006925;0.000581;0.001132;0.00086563;0.00072625;0.001415;0.00103875;0.0008715;0.001698
36;0.000945;0.000763;0.001543;0.000555;0.000484;0.000931;0.00075;0.0006235;0.001237;0.0009375;0.00077938;0.00154625;0.001125;0.00093525;0.0018555
37;0.001005;0.000805;0.001656;0.000624;0.000539;0.001056;0.0008145;0.000672;0.001356;0.00101813;0.00084;0.001695;0.00122175;0.001008;0.002034
38;0.001083;0.000861;0.001798;0.000701;0.000598;0.001193;0.000892;0.0007295;0.0014955;0.001115;0.00091188;0.00186938;0.001338;0.00109425;0.00224325
39;0.001181;0.000931;0.001975;0.000783;0.000661;0.00134;0.000982;0.000796;0.0016575;0.0012275;0.000995;0.00207188;0.001473;0.001194;0.00248625
40;0.001301;0.001018;0.002191;0.000872;0.000728;0.001502;0.0010865;0.000873;0.0018465;0.00135813;0.00109125;0.00230813;0.00162975;0.0013095;0.00276975
41;0.001447;0.001123;0.002451;0.000972;0.000804;0.001683;0.0012095;0.0009635;0.002067;0.00151188;0.00120438;0.00258375;0.00181425;0.00144525;0.0031005
42;0.001623;0.00125;0.002761;0.001084;0.000889;0.001889;0.0013535;0.0010695;0.002325;0.00169188;0.00133688;0.00290625;0.00203025;0.00160425;0.0034875
