Symbol;Firmenname;Letzter Preis;Änderung;% Schwankung;Volumen
DB1.DE;Deutsche Boerse AG;162,8;-0,05;-0,03%;73.306
HNR1.DE;Hannover Rück SE;144,45;0,1;0,07%;18.910
MTX.DE;MTU Aero Engines AG;180,2;-0,25;-0,14%;24.379
BMW.DE;Bayerische Motoren Werke Aktiengesellschaft;77,55;-0,11;-0,14%;345.741
VOW3.DE;Volkswagen AG;144,48;0,28;0,19%;167.844
SY1.DE;Symrise AG;102,45;0,2;0,20%;60.257
1COV.DE;Covestro AG;39,63;0,08;0,20%;149.910
FME.DE;Fresenius Medical Care AG & Co. KGaA;56,22;-0,14;-0,25%;83.361
ALV.DE;Allianz SE;199,74;-0,66;-0,33%;258.385
DBK.DE;Deutsche Bank AG;9,39;0,04;0,43%;3.019.747
BAS.DE;BASF SE;49,15;-0,23;-0,47%;665.178
BAYN.DE;Bayer Aktiengesellschaft;61,86;0,32;0,52%;603.920
ZAL.DE;Zalando SE;33,92;-0,2;-0,59%;453.808
DHER.DE;Delivery Hero SE;28,67;-0,17;-0,59%;476.104
AIR.DE;Airbus SE;105,62;-0,76;-0,71%;112.167
FRE.DE;Fresenius SE & Co. KGaA;32,88;-0,29;-0,87%;475.174
ADS.DE;adidas AG;179,1;-1,86;-1,03%;233.557
SHL.DE;Siemens Healthineers AG;54,98;0,6;1,10%;134.712
LIN.DE;Linde plc;294,45;-3,4;-1,14%;159.681
MRK.DE;MERCK Kommanditgesellschaft auf Aktien;161,9;1,9;1,19%;125.272
PUM.DE;PUMA SE;64,84;-0,78;-1,19%;65.197
DTG.DE;Daimler Truck Holding AG;27,02;-0,38;-1,39%;264.473
DTE.DE;Deutsche Telekom AG;18,05;-0,27;-1,47%;3.218.220
HEI.DE;HeidelbergCement AG;51,4;-0,78;-1,49%;269.161
IFX.DE;Infineon Technologies AG;28,16;-0,44;-1,54%;1.126.322
RWE.DE;RWE AG;40,55;0,64;1,60%;473.129
SIE.DE;Siemens Aktiengesellschaft;113,98;-2,1;-1,81%;516.964
DPW.DE;Deutsche Post AG;38,24;-0,72;-1,84%;584.494
CON.DE;Continental Aktiengesellschaft;64,76;-1,6;-2,41%;167.571
HFG.DE;HelloFresh SE;38,02;-0,98;-2,51%;271.720
