Country,GDP (in billions),Moody's rating,Adj. Default Spread,Equity Risk Premium,Country Risk Premium,Corporate Tax Rate,Region,GDP Weight,Weight*Default Spread,Weight*ERP,Weight*CRP,Weight * Tax Rate
Angola,62.31,B3,5.53%,10.67%,6.43%,25.00%,Africa,3.04%,0.17%,0.32%,0.20%,0.76%
Benin,15.65,B1,3.83%,8.69%,4.45%,30.00%,Africa,0.76%,0.03%,0.07%,0.03%,0.23%
Botswana,15.78,A3,1.02%,5.43%,1.19%,22.00%,Africa,0.77%,0.01%,0.04%,0.01%,0.17%
Burkina Faso,17.37,B2,4.68%,9.68%,5.44%,28.00%,Africa,0.85%,0.04%,0.08%,0.05%,0.24%
Cameroon,39.80,B2,4.68%,9.68%,5.44%,33.00%,Africa,1.94%,0.09%,0.19%,0.11%,0.64%
Cape Verde,1.70,B3,5.53%,10.67%,6.43%,0.00%,Africa,0.08%,0.00%,0.01%,0.01%,0.00%
Congo (Democratic Republic of),49.87,Caa1,6.38%,11.65%,7.41%,30.00%,Africa,2.43%,0.16%,0.28%,0.18%,0.73%
Congo (Republic of),10.89,Caa2,7.66%,13.14%,8.90%,28.00%,Africa,0.53%,0.04%,0.07%,0.05%,0.15%
Côte d'Ivoire,61.35,Ba3,3.06%,7.80%,3.56%,25.00%,Africa,2.99%,0.09%,0.23%,0.11%,0.75%
Egypt,363.09,B2,4.68%,9.68%,5.44%,22.50%,Africa,17.70%,0.83%,1.71%,0.96%,3.98%
Ethiopia,107.65,Caa2,7.66%,13.14%,8.90%,30.00%,Africa,5.25%,0.40%,0.69%,0.47%,1.57%
Gabon,15.59,Caa1,6.38%,11.65%,7.41%,30.00%,Africa,0.76%,0.05%,0.09%,0.06%,0.23%
Ghana,72.35,B3,5.53%,10.67%,6.43%,25.00%,Africa,3.53%,0.20%,0.38%,0.23%,0.88%
Kenya,98.84,B2,4.68%,9.68%,5.44%,30.00%,Africa,4.82%,0.23%,0.47%,0.26%,1.45%
Mali,17.39,Caa1,6.38%,11.65%,7.41%,22.81%,Africa,0.85%,0.05%,0.10%,0.06%,0.19%
Mauritius,10.91,Baa2,1.62%,6.12%,1.88%,15.00%,Africa,0.53%,0.01%,0.03%,0.01%,0.08%
Morocco,112.87,Ba1,2.13%,6.71%,2.47%,31.00%,Africa,5.50%,0.12%,0.37%,0.14%,1.71%
Mozambique,14.02,Caa2,7.66%,13.14%,8.90%,32.00%,Africa,0.68%,0.05%,0.09%,0.06%,0.22%
Namibia,10.70,Ba3,3.06%,7.80%,3.56%,32.00%,Africa,0.52%,0.02%,0.04%,0.02%,0.17%
Niger,13.68,B3,5.53%,10.67%,6.43%,22.81%,Africa,0.67%,0.04%,0.07%,0.04%,0.15%
