DATE,IRLTLT01CHM156N
1960-01-01,3.32
1960-02-01,3.3
1960-03-01,3.22
1960-04-01,3.13
1960-05-01,3.07
1960-06-01,3.04
1960-07-01,2.97
1960-08-01,2.94
1960-09-01,3.01
1960-10-01,3.05
1960-11-01,3.04
1960-12-01,3.02
1961-01-01,2.96
1961-02-01,2.86
1961-03-01,2.84
1961-04-01,2.82
1961-05-01,2.86
1961-06-01,2.97
1961-07-01,3.13
1961-08-01,3.1
1961-09-01,2.97
1961-10-01,2.97
1961-11-01,3.01
1961-12-01,2.98
1962-01-01,2.96
1962-02-01,2.99
1962-03-01,3.1
1962-04-01,3.25
1962-05-01,3.14
1962-06-01,3.26
1962-07-01,3.19
1962-08-01,3.14
1962-09-01,3.11
1962-10-01,3.12
1962-11-01,3.11
1962-12-01,3.12
1963-01-01,3.14
1963-02-01,3.13
1963-03-01,3.1
1963-04-01,3.1
1963-05-01,3.14
1963-06-01,3.15
1963-07-01,3.22
1963-08-01,3.25
1963-09-01,3.33
1963-10-01,3.44
1963-11-01,3.42
1963-12-01,3.54
1964-01-01,3.64
1964-02-01,3.8
1964-03-01,3.89
1964-04-01,3.88
1964-05-01,4.02
1964-06-01,4.05
1964-07-01,4.04
1964-08-01,4.05
1964-09-01,4.05
1964-10-01,4.08
1964-11-01,4.08
1964-12-01,4.07
1965-01-01,4.04
1965-02-01,3.94
1965-03-01,3.91
1965-04-01,3.92
1965-05-01,3.92
1965-06-01,3.92
1965-07-01,3.92
1965-08-01,3.92
1965-09-01,3.94
1965-10-01,3.96
1965-11-01,3.98
1965-12-01,3.98
1966-01-01,3.98
1966-02-01,3.98
1966-03-01,3.98
1966-04-01,4.01
1966-05-01,4.02
1966-06-01,4.04
1966-07-01,4.16
1966-08-01,4.24
1966-09-01,4.27
1966-10-01,4.36
1966-11-01,4.4
1966-12-01,4.53
1967-01-01,4.74
1967-02-01,4.74
1967-03-01,4.72
1967-04-01,4.69
1967-05-01,4.68
1967-06-01,4.75
1967-07-01,4.6
1967-08-01,4.48
1967-09-01,4.32
1967-10-01,4.45
1967-11-01,4.52
1967-12-01,4.55
1968-01-01,4.59
1968-02-01,4.39
1968-03-01,4.35
1968-04-01,4.37
1968-05-01,4.35
1968-06-01,4.34
1968-07-01,4.35
1968-08-01,4.35
1968-09-01,4.34
1968-10-01,4.38
1968-11-01,4.33
1968-12-01,4.33
1969-01-01,4.38
1969-02-01,4.4
1969-03-01,4.6
1969-04-01,4.67
1969-05-01,4.58
1969-06-01,4.69
1969-07-01,5
1969-08-01,5.2
1969-09-01,5.37
1969-10-01,5.23
1969-11-01,5.34
1969-12-01,5.34
1970-01-01,5.33
1970-02-01,5.55
1970-03-01,5.66
1970-04-01,5.88
1970-05-01,5.86
1970-06-01,5.87
1970-07-01,5.81
1970-08-01,5.76
1970-09-01,5.74
1970-10-01,5.75
1970-11-01,5.68
1970-12-01,5.7
1971-01-01,5.58
1971-02-01,5.52
1971-03-01,5.44
1971-04-01,5.27
1971-05-01,5.32
1971-06-01,5.38
1971-07-01,5.45
1971-08-01,5.31
1971-09-01,5.1
1971-10-01,4.97
1971-11-01,4.86
1971-12-01,4.99
1972-01-01,4.76
1972-02-01,4.6
1972-03-01,4.77
1972-04-01,4.94
1972-05-01,4.93
1972-06-01,5.06
1972-07-01,4.95
1972-08-01,4.93
1972-09-01,4.98
1972-10-01,5.08
1972-11-01,5.29
1972-12-01,5.27
1973-01-01,5.36
1973-02-01,5.32
1973-03-01,5.29
1973-04-01,5.42
1973-05-01,5.37
1973-06-01,5.36
1973-07-01,5.36
1973-08-01,5.65
1973-09-01,5.79
1973-10-01,5.77
1973-11-01,6.13
1973-12-01,6.31
1974-01-01,6.38
1974-02-01,6.59
1974-03-01,7.09
1974-04-01,7.23
1974-05-01,7.3
1974-06-01,7.28
1974-07-01,7.23
1974-08-01,7.36
1974-09-01,7.41
1974-10-01,7.32
1974-11-01,7.19
1974-12-01,7.17
1975-01-01,6.83
1975-02-01,6.66
1975-03-01,6.79
1975-04-01,6.87
1975-05-01,6.76
1975-06-01,6.51
1975-07-01,6.45
1975-08-01,6.18
1975-09-01,6.21
1975-10-01,6.08
1975-11-01,5.96
1975-12-01,5.93
1976-01-01,5.4
1976-02-01,5.29
1976-03-01,5.14
1976-04-01,5.19
1976-05-01,5.21
1976-06-01,5.12
1976-07-01,5.09
1976-08-01,4.99
1976-09-01,4.89
1976-10-01,4.6
1976-11-01,4.41
1976-12-01,4.46
1977-01-01,4.05
1977-02-01,3.97
1977-03-01,3.95
1977-04-01,3.93
1977-05-01,4.44
1977-06-01,4.49
1977-07-01,4.22
1977-08-01,4.08
1977-09-01,3.94
1977-10-01,3.85
1977-11-01,3.84
1977-12-01,3.78
1978-01-01,3.65
